0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	10	10	9	10	10	10	10	11	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11
5	36	36	36	35	36	36	36	36	35	35	35	35	35	35	35	34	36	36	36	36	36	36	36	36	35	35	35	35	35	35	35	35
6	54	54	54	52	54	54	54	54	54	54	54	54	54	54	54	52	51	51	51	51	51	51	51	51	56	56	56	56	56	56	56	56
7	120	120	120	116	120	120	120	120	124	124	124	124	124	124	124	120	125	125	125	125	125	125	125	125	116	116	116	116	116	116	116	116
8	146	146	146	141	146	146	146	146	146	146	146	146	146	146	146	143	147	147	147	147	147	147	147	147	144	144	144	144	144	144	144	144
9	176	176	176	172	176	176	176	176	176	176	176	176	176	176	176	171	176	176	176	176	176	176	176	176	175	175	175	175	175	175	175	175
10	192	192	192	191	192	192	192	192	192	192	192	192	192	192	192	191	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
11	192	192	192	191	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
12	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
13	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
energy:
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	-0.144676402083165	-0.14467640208316493	-0.144676402083165	-0.1298581248668831	-0.144676402083165	-0.14467640208316504	-0.144676402083165	-0.14467640208316496	-0.15800980505197035	-0.15800980505197035	-0.15800980505197032	-0.15800980505197035	-0.15800980505197032	-0.15800980505197035	-0.1580098050519704	-0.14329247690735625	-0.14429476417786682	-0.14429476417786669	-0.14429476417786663	-0.14429476417786669	-0.1442947641778668	-0.14429476417786666	-0.14429476417786663	-0.1442947641778667	-0.15890329638776574	-0.15890329638776574	-0.1589032963877658	-0.1589032963877658	-0.15890329638776576	-0.15890329638776576	-0.15890329638776576	-0.15890329638776574
5	-0.4100522798184345	-0.41005227981843456	-0.4100522798184344	-0.3875495583860922	-0.41005227981843434	-0.41005227981843445	-0.4100522798184345	-0.4100522798184345	-0.4062386029394404	-0.40623860293944025	-0.40623860293944036	-0.40623860293944036	-0.40623860293944036	-0.40623860293944036	-0.4062386029394404	-0.3878058377295874	-0.4155655606596497	-0.4155655606596498	-0.4155655606596497	-0.4155655606596498	-0.4155655606596498	-0.4155655606596496	-0.41556556065964967	-0.4155655606596497	-0.40934112679076745	-0.40934112679076745	-0.4093411267907673	-0.40934112679076723	-0.40934112679076734	-0.4093411267907674	-0.4093411267907673	-0.4093411267907673
6	-0.4623779107640236	-0.46237791076402357	-0.4623779107640234	-0.4373923511648609	-0.46237791076402335	-0.4623779107640234	-0.4623779107640235	-0.46237791076402357	-0.4654957192363006	-0.4654957192363005	-0.46549571923630045	-0.46549571923630056	-0.46549571923630045	-0.4654957192363006	-0.4654957192363006	-0.4447857866229372	-0.461870709279493	-0.461870709279493	-0.46187070927949303	-0.4618707092794931	-0.46187070927949314	-0.46187070927949286	-0.46187070927949303	-0.46187070927949303	-0.47008391117873294	-0.47008391117873305	-0.47008391117873294	-0.4700839111787327	-0.470083911178733	-0.47008391117873305	-0.4700839111787327	-0.4700839111787328
7	-0.540892800649614	-0.540892800649614	-0.540892800649614	-0.5126359817384185	-0.5408928006496138	-0.5408928006496138	-0.540892800649614	-0.540892800649614	-0.5473065836327082	-0.547306583632708	-0.5473065836327078	-0.547306583632708	-0.547306583632708	-0.547306583632708	-0.5473065836327083	-0.5253222581827508	-0.5514178556833399	-0.5514178556833402	-0.5514178556833406	-0.5514178556833403	-0.5514178556833403	-0.55141785568334	-0.55141785568334	-0.5514178556833401	-0.544497402047783	-0.5444974020477831	-0.544497402047783	-0.5444974020477827	-0.544497402047783	-0.5444974020477832	-0.5444974020477827	-0.5444974020477827
8	-0.5578106341497581	-0.5578106341497582	-0.5578106341497581	-0.5288185666628703	-0.557810634149758	-0.5578106341497578	-0.5578106341497581	-0.5578106341497581	-0.561287966158076	-0.5612879661580757	-0.5612879661580756	-0.5612879661580759	-0.5612879661580757	-0.5612879661580759	-0.561287966158076	-0.5395680465889	-0.565113832710093	-0.5651138327100932	-0.5651138327100935	-0.5651138327100934	-0.5651138327100932	-0.5651138327100931	-0.5651138327100931	-0.5651138327100932	-0.5627530406510447	-0.5627530406510449	-0.5627530406510446	-0.5627530406510446	-0.5627530406510448	-0.5627530406510448	-0.5627530406510444	-0.5627530406510445
9	-0.5648217637292516	-0.5648217637292517	-0.5648217637292516	-0.5361716475717359	-0.5648217637292515	-0.5648217637292515	-0.5648217637292516	-0.5648217637292516	-0.5683686839118831	-0.5683686839118829	-0.5683686839118828	-0.568368683911883	-0.5683686839118828	-0.568368683911883	-0.5683686839118832	-0.5463549653532891	-0.5718142071621364	-0.5718142071621366	-0.571814207162137	-0.5718142071621368	-0.5718142071621367	-0.5718142071621365	-0.5718142071621365	-0.5718142071621366	-0.5702602889952627	-0.5702602889952628	-0.5702602889952626	-0.5702602889952625	-0.5702602889952628	-0.5702602889952629	-0.5702602889952625	-0.5702602889952625
